,User,Location
78,flakomilan,"Bogotá, D.C., Colombia"
79,GeorgioMonreal,
80,Gianne1,
81,PDesolacion,
82,andersender87,"Medellín, Colombia"
83,CarlosF52994460,
84,salamancascl,"Las Condes, Chile"
85,JuanCuencaPH,
86,miltonjms,Colombia
87,UruetaAndrs1,
88,elplatanalcol,Ciudad Autónoma de Buenos Aire
89,claudio_fuster,
90,Caroha4,
91,DianaVivasM,
92,Geni34229317,
93,nxstsai,『🇦🇷』Buenos Aires
94,FrancyLuna5,"Ypsilanti, MI"
95,CarLuuTe,
96,rizoslocos_,Soy nadie de ningún lugar
97,ElKaribeno_R,Montañas de Colombia 
98,YoSoyPazYLibre,
99,ruidiaz_ddhh,España
100,domadordegusi,
101,montamer25,CVA ESPC
102,andreanore21,
103,Primeralineamr2,"Medellín, Colombia"
104,AsesinoDePenes,Casa de cast(sacar de Sinaloa)
105,DanielPoloOliv1,"La Habana, Cuba"
106,JairoLozanoG,Valledupar
107,Fernando_MVZ89,
108,JOSEPH950401,
109,henryfonsecarx,
110,omarquiones2,"Cali, Colombia"
111,2eulises,rumbo al caguan
112,gruizal1,EN LA TIERRA
113,EpicuroDeSamos_,"Bogotá, Colombia"
114,RadioMalva,Valencia
115,jjesus_miguel,bogota 
116,SoylaMilagro,El Salvador
117,StephBTSE,
118,carlosandresmur,Colombia
119,AnimarPolitico,
120,ArrublaMunoz,
121,Jhonatan1__1,"Medellín, Colombia"
122,gobernabilidad6,
123,AlexCubano,
124,leopeleoes,Bogotá
125,indhriana,
126,endycontreras, 🇻🇪 Venezuela
127,nostribante,
128,PrInCeSsLuUz,Uruguay
129,ClasificaBtura,
130,cesauro1,
131,JacoboBlandon3,"Medellín, Colombia"
132,parescolombia,"Bogotá, Colombia"
133,ilipitia,Costa Rica
134,WENHERRERA14,"Bogotá, Colombia"
135,Valeria97186468,
136,Quindio_Resiste,Armenia
137,SofideAndrade1,CABA
138,dijuscolombia,
139,jostem23,
140,LolaMedicen,Madrid
141,bc_mafe,"Medellin, Colombia"
142,GloCol2,
143,CaballeroGill,"Ashburn, VA"
144,FirmesMadrid,Madrid
145,JennAgudelo1,
146,NicolasGarzon18,"Paris, France"
147,LosAyudemos,
148,ItaliaHumana,Italia
149,DORAZAPATA2430,
150,jardin_lac,
151,mpirateque,
152,klaraseni,Colombia - Malegría Town
153,__UnaTalDaniela,"Cali, Valle del Cauca"
154,PatricioMeza12,
155,lademarketiando,Envigado - Antioquia
156,Hsb1925,
157,Arevalito2011,
158,livrevide,Montes de María
159,RadioChecheres,America Latina Unida
160,KikeVis,Colombia
161,ccmariaco, 
162,Karenso71217596,
163,JaviMontoyaz,Colombia
164,Karen32286325,
165,MONYRODRIGUEZOF,"BOGOTA, COLOMBIA"
166,DarWin_90_Mach,"Ibagué, Colombia"
167,JHdzA3,
168,alexa_reloaded,"London, England"
169,fortich79,Bogotá D.C.
170,NepMilk,polombia
171,demandium,
172,dome_gallegos,"Quito, Ecuador"
173,yamitalean,"A veces aquí, otras allá."
174,Santiago_valmo,"Barranquilla, Colombia"
175,bettoespectador,Bogotá Colombia
176,SatanSatanovich,Guayaquil
177,mukasweb,Venezuela
178,andero_06,"Houston, TX"
179,Ricardocd_,
180,jesusanchoconde,Mollet Barcelona
181,nicolasi__g,
182,nowizera,a
183,jeffrivera21,
184,CaroRicitos,
185,56762xp,"Narcoestado, Col"
186,banpercie,Afganistán
187,Tyffanymp,
188,MacGuffin_21,
189,ARGaucho_,
190,fase29_,"Medellín, Colombia"
191,pablinski2,
192,Cesar90431612,"Bello, Colombia"
193,DavidRo40658997,
194,esco620,🗺🤷🏻‍♂️
195,YoMavarez,"Valencia, Venezuela"
196,juanranzola,
197,Negrita_towers,At Sea 
198,carmeno1635,"San Salvador, El Salvador"
199,olga73427503,"California, USA 🇺🇸"
200,Mr_DonNadie,
201,Antifaxismoa,Euskal Herria
202,Radiometrohaba1,Cuba
203,CGT,España
204,Berthica5,"La Habana, Cuba"
205,grupo_plumas,"Venezuela, Acarigua "
206,MadresCR,
207,jesus_fpc,Alicante
208,BITLOBOInvers,"California, USA"
209,LORD_HYO,Block-Chain🚀
210,AmbarinaG,En gracia
211,PartidoPCC,Cuba
212,FabeloPinares,
213,JorgeLSantana3,
214,Educa_Gtmo,
215,JovenclubCifue1,
216,jovenclubPinar,Cuba
217,Leobanys2,"Las Tunas, Cuba"
218,CubaCentral,"La Habana,Cuba"
219,Misael82834031,Cuba
220,CmkcConcierto,
221,ArletyBarazal,"La Habana, Cuba"
222,EcgMinera,Cuba
223,Ney8a,Cuba
224,VeronikPedraza,La Habana
225,yamila_padron,
226,todosporlaeduve,
227,RaynierMiranda,Cuba
228,BauzaCuba,
229,bacunagua,
230,ImecoCuba,
231,EducacionDel,
232,superstereo981,Isla de Margarita-Venezuela
233,ViveresOrdaz,Puerto Ordaz Estado Bolivar
234,DPDZulia,"Zulia, Venezuela"
235,LopezCesar2504,Nicaragua
236,OnofrioCavallo,
237,EEIICarmeChacon,"Calle Matapozuelos, 2, 28043"
238,bancaynegocios,"Caracas, Venezuela"
239,CGTSevilla,"c/Alfonso XII, 26"
240,FrnsEdobolivar,"Ciudad Bolivar, Venezuela"
241,lobosrev02,Nicaragua
242,DiariRepCheca,"Tarragona, Cataluña"
243,HistoriaPapeles,Venezuela
244,AntonioHMsv,Italy
245,DPLF_info,
246,jimolinaarroyo,Andalucía
247,LuisAnt46786092,
248,prensaestudiant,"Kronshtadt, Rusia"
249,MarisolPrensaok,"Buenos Aires, Argentina"
250,ElMananero_,
251,cancinodiegoa,"Bogota, Colombia"
252,amparo_gonzales,España
253,JuanMarioLimaD,Cuba
254,yisvetmarin,"ÜT: 10.219202,-68.004284"
255,CCOOdeAsturias,Asturias
256,trianacampo1,Spain
257,CgtKonecta,"Almendralejo, España"
258,NetCgt,"Madrid, España"
259,CgtAndalucia,"Comunidad de Madrid, España"
260,BtoCgt,"Madrid, Comunidad de Madrid"
261,cntaitcartagena,🌐 cartagena@cntait.org
262,anf_espanol,
263,ATDiputacion,
264,MaciasYuleiky,"Cuba, Sancti Spíritus"
265,RadiocubaSTX,Cuba
266,mdi_venezuela,
267,lilibethsandov,Venezuela
268,TaniaAl89297299,
269,EcuadorCut,Ecuador
270,AmilcarRey2,
271,Ayatawaabta,
272,jhoseph227,"BUCARAMANGA, COLOMBIA."
273,cronicadirecto,"Barcelona, Cataluña"
274,RolfCoach,"Buenos Aires, Argentina"
275,cacicaV,Colombia 🇨🇴 
276,ManaguaMefcca,"Los Robles, Managua, Nicaragua"
277,ElAragueno,"Aragua, Venezuela"
278,Razonyre,Argentina Prensa 11 5869-2726 
279,FPR_Mx,México
280,CharlyRdz1103,Mexico 
281,Pablojdiazr,Caracas. Venezuela
282,IrisFresh1,
283,IntCCOO,Madrid
284,kvmillan,Caracas
285,LMartinV1,El UNIVERSO
286,moniiiiiiiiik,
287,ANiklaus4,Berlin
288,raulmendez_007,El Salvador
289,ZonaDocs,"Guadalajara, Jalisco."
290,jmporquet,Zaragoza
291,plataformadecom,"Barcelona, España"
292,vagabunda_mx1,
293,med0usax,
294,nicolehdz31,El Salvador
295,MLKP_IB,Turkey/Kurdistan
296,cgtbsan,"Plaza de Legazpi, 1 Madrid"
297,blackfl93667279,
298,revistalibero,España
299,StanleyHernan14,
300,ColegioEnfermDC,"Caracas, Venezuela"
301,vduranjs1, Ontario
302,CVMVenezuela,"Distrito Capital, Venezuela"
303,personanbulo,Bilbao. España.
304,DanielL21620741,
305,espana_carlitos,"Barcelona, España"
306,MariMagallanesC,Estado Aragua. Venezuela
307,Ernestico1919,"Mayabeque, Cuba. "
308,LaCausaRVe,Venezuela
309,turismosanfdo,#SanFernando
310,elferlopezaires,Ecuador
311,mariafotografa7,Sevilla
312,auroragvilustra,Santander
313,BorjasSevero,"Holguín, Cuba"
314,radionline,Cuba
315,cntcornella,Cornellà de Llobregat
316,SindicatoMinjus,Cuba
317,MioPinares,Cuba
318,ProgresoHD,"Pz. Zumarraga 2 Bajo 2, Bilbao"
319,EndAllSuffering,"Devils Wharf, Connecticut USA"
320,PeaceAmendment,
321,Marovaan,Bogotá 
322,dunkel_little,#GirlsWhoCode #WomenInScience 
323,JOALVARA,"BOGOTA, COLOMBIA"
324,JimRubens,New Hampshire
325,Lulufrl,
326,walangpasok,Philippines
327,dost_pagasa,"Quezon City, PHILIPPINES"
328,sprivera,En casita
329,RealBreaksLive,Minnesota
330,cpt_intl,"Chicago, IL"
331,Colombiagruppen,Stockholm
332,FelipeNN7,"Cali, Colombia"
333,cristianariza_,Colombia
334,MauricioELKALE,Canada
335,Oidhaco,"Bruselas, Bélgica"
336,orbit_valhaus,she/her
337,Nandito_Mijo,Bogotá 
338,IamDanielFelipe,"Chicago, IL"
339,RedCondors,
340,Zalman5K,contacto: zalman@zalman5k.com
341,majxdibx,
342,LauraRoblesRuiz,
343,jgomez_fip,"manizales, Colombia"
344,NORENMINLOOPS,norenmin’s heart
345,milowgiraldo,
346,eddierth,Pereira
347,GCRTA,"Cleveland,Ohio"
348,Peace_Presence,Colombia
349,StePozzebon,Bogota
350,ChrisBlec,USA
351,MavrickSpinster,United States
352,pcbeachliving,
353,HypatiaHurtado,
354,MariaParraArcos,Líbano - Ibagué 
355,citypaperbogota,"Bogotá, Colombia"
356,RichardEmblin,
357,lupo51ca,calgary
358,yukheikick,
359,jennto,"Cali, Colombia"
360,AncestralAlien,Planet Earth
361,Prince_Josep07,"Barbacoas, Nariño"
362,moonsthedumbass,definitely fighting somebody
363,Jprincess951,
364,anam_olaya,Calarcho City
365,agudelo_tovar,Cartago 
366,spookyLoba,
367,mmrt220910,"Texas, USA"
368,BibianaViana,"Mar del Plata, Argentina"
369,Eric_Vardeman,"Tulsa, OK"
370,gquimbayo,Tierra/Earth/Maa   
371,JoyceBruns,
372,criptikalsoul,Bogota Colombia
373,profetatuu,
374,LUX3R3,bogota
375,fsceleste,"Cali, Colombia"
376,MirandaHeLF,
377,HijueputaCasa,de izquierda
378,JenniferPedraz,"Bogotá, D.C., Colombia"
379,jhonnyxaviersp,
380,sintraemsdesna1,
381,Skink_19,
382,WilliamTorres23,"Barranquilla, Colombia"
383,AnaKgv,"Santa Marta, Colombia"
384,LauraBenavdezR1,"Cali, Colombia"
385,julianacl3,
386,AcFerreiraR,Bogotá D.C
387,LuisEdu620829,Colombia
388,unicomunica,
389,juansitx,
390,MariaySusLetras,"Bogotá, D.C., Colombia"
391,diegomillan_pcc,Bogotá
392,JoseRobayo,colombia
393,juanlastre1,
394,LeonPielrroja,"Allá arriba, en aquél alto."
395,HailGU2,Colombia
396,KevinZa15959567,
397,i11DAO,
398,Sanfer30_,
399,JohnnBack,NARColombia - Palestina🇵🇸
400,Mayo_Hemelson,"Quibdó, Colombia"
401,nikovive,Cali Colombia
402,lizeth_tuta,
403,ManosLimpiasCo,#CongresoCorrupto
404,PaulaAHR, 📍Bogotá
405,Davidrkrapula,www.davidkawooq.com
406,AlejandroCobo2,"Jamundi, valle, colombia"
407,MaraCamilaGil4,"Barrancabermeja, Colombia"
408,Andres_M006,"Soacha, Colombia"
409,SEMCordoba,"Bogotá, D.C., Colombia"
410,rugeparticipa,
411,Erick_SanVargas,
412,NENI06_92,"Bogotá, Colombia"
413,Isabel_Fajardo3,La patria grande
414,ivancamilodavil,"Bogotá D.C., Colombia"
415,SantaParanoica,"Palmira, Colombia"
416,paolaorozco26,Bogotá
417,rootboyguitar,
418,humana_red,Colombia
419,to_domal,Colombia
420,j0s4p3,"Medellín, Colombia"
421,LiliCastanedaM,"Bogotá, Colombia"
422,Luisa_7v7r,Bogotá- Colombia
423,mauriciod,
424,Orlandogomezgom,
425,aeternalux_,"Medellín, Antioquia"
426,Daniela91669309,"Cali, Colombia"
427,luzmi85486713,"Cali, Colombia"
428,BobasLas,
429,ElconceptoB,"Bogotá, DC, Colombia"
430,Metup,
431,ImHereForNaomi,
432,Masizo77,Armenia-Quindio
433,Credhos_Paz,BARRANCABERMEJA
434,stev1927,
435,EducalSindicato,Manizales
436,Juandatorres24,"Bogotá, D.C., Colombia"
437,StevenRodriigez,
438,jorgeisaac342_,Colombia
439,BohorquezPablo,Bogota
440,Danperzv,"Medellín, Colombia"
441,Oscar_Carcedo,
442,AlexisCardonaun,"Bogotá, D.C., Colombia"
443,FUNComisiones,Colombia
444,SantyClap,
445,AndresilvaRF,Santiago de Cali
446,jordonezachury,Bogotá-Colombia
447,bluehell_01,"Bogotá, D.C., Colombia"
448,momo_tatiana,
449,DuglasPulgarin,Colombia
450,Tatiana9108,
451,GarzonUnal,"Bogotá, Colombia"
452,CaroNazin,Colombia
453,SoloMike__,Bogotá - Colombia
454,Ivan_Ducales,
455,daab36,Colombia
456,CSIFnacional,
457,ElGaitan9,
458,PoloDemocratico,Colombia
459,Jesustafur16,
460,1012benito,
461,bangtanhikari,bl couples ♥️ ATEEZ PRESENT 💙
462,proajaen,"Mengíbar, España"
463,Chajinero,"Barranquilla, Colombia. "
464,Maitri_Psico,
465,juanmacduque,"ÜT: 10.415931,-75.553406"
466,sindychris,Medellín
467,caros1010,
468,TheSuperBoring,Paracolombia. 
469,JotaSolanoTorre,#KajitaDeArena™
470,SrWeedCol,"Medellín, Colombia"
471,Michaelbedoya12,Colombia
472,cuestion_p,Colombia
473,Col_Informa,Colombia
474,arleycori,"Cali, Colombia"
475,GiovanniPaez,"Tunja, Boyacá, Colombia"
476,materocom,Venezuela 🇻🇪 🇻🇪 
477,cerosetenta,Bogotá-Colombia
478,Kara_2608,manizales
479,MrJuanJimenez,"Pereira, Colombia"
480,Romero_reinel,"Bogotá, D.C., Colombia"
481,felojazzsax,"Bogotá, Colombia"
482,jcborreroc,Colombia
483,ONUHumanRights,Colombia
484,Lafebr30,"Manizales, Colombia"
485,FrancoYate,
486,yovanotti,
487,juanmartinbc,Cali
488,ernestjaramillo,Colombia
489,Sofia16_,Pereira 
490,Avilla719,
491,jhanjaco,Bucaramanga 
492,CaJuMoPal,Villavicencio
493,__candelita__,🏳️‍🌈
494,DaniHernandeR,Villavicencio
495,Chikarudibuja,
496,criticopolombia,Polombia
497,e_wgb5,"Cartagena, Colombia"
498,JuanMunozOspina,"Manizales, Colombia"
499,catamaterile,"Bogotá, D.C., Colombia"
500,tian1841j,"Bogotá, D.C., Colombia"
501,PirryEnPelota,
502,puli_alex,♥Bogotá D.C♥
503,Paezalejn,"Bogotá, Colombia"
504,LauAragon95,"La Sucursal Del Cielo, CLO."
505,DValentinaA11,
506,lmartinezv,Popayan (Colombia)
507,RedAbuso,"Bogotá, D.C., Colombia"
508,elianau1022,"Medellín, Colombia"
509,Amm14j,
510,LicenciadoKmilo,"Bogotá, Colombia."
511,Karinaytimoteo,
512,CamilaRuedaR,
513,designante,🏳️‍🌈
514,Pacaletosa,Metrallo
515,mediareduy,Uruguay
516,ldiazh99,
517,RosesGTS,
518,RedhusBta,
519,johnsebitass,Colombia
520,AndressGarciaG,"Medellín, Colombia"
521,alejomay1988,santiago de cali 
522,andreaustate1,"Bucaramanga, Colombia"
523,MLibresCali,
524,cfunivalle,Colombia
525,Stonewall_PUJ,"Bogotá, D.C., Colombia"
526,MompoxSocial,"Mompós, Colombia"
527,DannaKatzenbach,"Cali, Colombia"
528,djwildcali,"cali,colombia"
529,karelsolei,"Madrid, Comunidad de Madrid"
530,lorenzomorales,
531,Suge79770074,"Cali, Colombia"
532,JD_CD,"Sincelejo, Colombia"
533,juliandavud,
534,PortenoRVB,"Valle del Cauca, Colombia"
535,antioquiampv,"Antioquia, Colombia"
536,ColoresMari,
537,andresf2385,Cali - Colombia
538,sintraim,
539,Pacifistacol,Colombia
540,DemagogiaVs,España
541,srnestorteto,"Ibagué, Colombia"
542,DeibyCabrera31,"Tunja, Colombia"
543,UniversoCentro,Medellín
544,EdmundoLoGu,Bogotá
545,FelRuge,
546,ajcalzado,"Ciudad Real, España"
547,lufergia,Colombia
548,GutierrezKetty,Colombia
549,WILLIAMBORJASAL,"Barranquilla, Colombia"
550,RollingStoneCol,Colombia
551,julboh,
552,ArizaWillington,Barranquilla  para el mundo 
553,Fegdinand,"Cali, Colombia"
554,hellmand10,"Timbío, Colombia"
555,HectorOlarte13,
556,obsurdhuila,Neiva -Huila-
557,LuisGabrielAlo5,
558,AndresPm007,"La Jagua De Ibirico, Cesar - C"
559,Negriet,Swerve City
560,EddJag,"Cali, Colombia"
561,YosoylinaA,
562,anabelmandinga3,Venezuela 
563,monicali26,Santiago de Cali  ♥
564,Mile06426923,"Colombia, mi tierra querida"
565,andrescvalencia,Manizales
566,SoyCuervoRuben,"Manizales, Colombia"
567,athemayst,Con la Paz con Justicia Social
568,Justiciaypazcol,"Bogotá, Colombia"
569,antoniobarrio14,
570,RelatoMigrante,Cartagena de Indias 
571,Nelsonalarcon74,
572,EscorpionXCO,Entre Bucaramanga y Bogotá
573,ElPortavozz,
574,IdontPayfoWear,Bogotá 
575,cesarhmarinp,Colombia
576,Tresojos666,
577,ZuluagaCeron,
578,fuelsmicroalgae,Germany
579,LigaNoSilencio,Colombia
580,juangarf,"Bogotá, D.C., Colombia"
581,melo2teach,
582,hharoldsteven,Jupiter
583,dansanchbal,
584,maravilhion,
585,HRI_ONG,Las Americas
586,anelimescrit,
587,MiguelI49129341,Colombia
588,SLpiensaMas,
589,Intensa66397835,
590,achaycharrua,
591,veeduriaesmad,
592,MisuzuTomoya,
593,CaroNarvaezP,"Armenia, Colombia"
594,GoleadoresFC,"Ibagué, Colombia"
595,PazProgreso,Colombia
596,ElChapinPrensa,Bogotá D.C.
597,HarolNieto,"Bogotá, D.C., Colombia"
598,leokintero99,
599,ChristianALenis,
600,YhonierB,"Cali, Colombia"
601,miltonsilvaPC,"Bogotá, D.C., Colombia"
602,Dagosa20,"Cali, Colombia"
603,FrancoT1967,
604,lasillavacia,Bogotá
605,AnaCalvo19,"Riells i Viabrea, España"
606,TembloresOng,"Bogotá, D.C., Colombia"
607,AnaErazoR,
608,FLazosDignidad,Colombia
609,digitalsaurio,
610,JCamiloPortelaG,
611,532sierra,Colombia
612,JBueno1975,Bogotá-Colombia
613,ConpazCol_,Colombia
614,RSaulhernandez,"Valle del Cauca, Colombia"
615,camilogvillegas,Colombia/España
616,alternoso,Bogotá
617,HiPeoplePeople,Italia
618,Martix_AL,España
619,andresolaya5,Ibague - Colombia
620,JavierHeroe,Cali
621,Anamariapaba25,Colombia
622,AlejandraTatis4,Colombia
623,AndreLora_,
624,RenePerle,Planeta Tierra
625,inviable28,
626,AngelBetorio28,"Tonalá, Jalisco"
627,soydicharachero,Acá los cerros tienen ventanas
628,SanchezCaicedoC,Colombia
629,Clashmedia_,LATAM
630,ComunesOcc,Suroccidente Colombiano
631,cmzp,"Cali, Colombia"
632,ManifiestaMedia,"Bogotá, D.C., Colombia"
633,kamikasgris,
634,comunero1871,
635,SergioA44941559,
636,TheStonersLaw,"Lima, Peru"
637,amccol,"Medellín, Colombia"
638,ASPAPROS,España
639,CINEP_PPP,Colombia 
640,alexmiami0105,Munro/Miami /Ibiza /Namur
641,alejoocampog,Cali
642,KevinSizaI,"Bogotá, D.C., Colombia"
643,CatalinaM_MDQ,"Mar del Plata, Argentina"
644,Claramind,Rosario
645,KenParkQ,
646,Ciclose,La Libertad
647,FotografoGus1,
648,Rodvel_,
649,2tucotuco,"Albuquerque, NM"
650,menchapin,
651,DannyValiente4,
652,luna_sandia88,En algun lugar de un gran país
653,SBHernandezZ,Guatemala 
654,UnCapucho,
655,GArchain,Donde vos quieras...
656,CrisCastello01,No polemizo
657,DraAVN,Buenos Aires
658,LaraScheffler1,"Entre Ríos, Argentina"
659,Senadoesp,
660,pcaparros,SPDM
661,eSPAINews,España 🇪🇦
662,PRLInnovacion,Madrid
663,DavidCfd,Cornellà de Llobregat
664,DIANNITANAVARRO,BOGOTÁ 
665,maytemisast,Cali Colombia
666,SintholNacional,
667,pachogana,"Bogotá, D.C., Colombia"
668,pablo96720949,en los brazos de madre tierra 
669,DanielBasto1997,"Bogota, Colombia"
670,DanielaOC0511,"Cali, Colombia"
671,Davidrodriigez,
672,Andy_FV182,"Cali, Colombia"
673,perez01012019,
674,jonathancongres,Centro Oriente- Colombia
675,usofrenteobrero,Barrancabermeja- Bogotá 
676,Dayana_Reales,
677,7NNoticias,Colombia
678,mavillacol,"Medellín, Colombia"
679,emcamposr,colombia
680,negrete_perez,cartagena-colombia
681,momento24co,Bogotá - Colombia
682,destiladero,"Bogotá, D.C., Colombia"
683,crisfonsisan,
684,Sintracarcol,Colombia
685,AisoMovimiento,Colombia
686,AngelicaP8205,"Bogotá, D.C., Colombia"
687,sintraelecolnac,Bogota D.C
688,damagofe,Barrancabermeja 
689,vallerelax,"Cali, Colombia"
690,andrescisf2013,"Bogotá, D.C., Colombia"
691,ENSColombia,"Medellín, Colombia"
692,ColombiacomTW,Colombia
693,luisalunar22,"Bogotá, D.C., Colombia"
694,heidy_up,"BOGOTA, COLOMBIA"
695,cacrosferro,Pereira
696,pedroferneyc,colombia
697,JJulianVivas,"Bogotá, D.C., Colombia"
698,_Juan_David_A,"Santa Marta, Colombia"
699,mariafelinaa,"Bogotá, D.C., Colombia"
700,ODaniel_Zarate,"Bogotá, Colombia"
701,donadolforivas,"Bogotá, D.C., Colombia"
702,fernando1836,
703,danissaolaya,"Madrid, Colombia"
704,DiazFabian001,BOGOTA COLOMBIA
705,zevaztiancortes,"Bogotá, D.C., Colombia"
706,Una_id10ta_mas_,
707,Ana_Virviescas,
708,VaselinaMental,Politicamente incorrecto
709,MlSTERPig,
710,DdhhMesa,
711,JUANCAELBROKY,Colombia
712,RomanoEspartaco,
713,comunicauca,
714,sharepunks,
715,NanitaKiddo,Verdad
716,AlexDenker47,Colombia
717,critico_espacio,
718,_VientoSolar_,"Barranquilla, Colombia"
719,eduardsarmiento,Zipaquirá  / Colombia
720,Juventud_Humana,Colombia
721,otrojaviermas,
722,CanizSB,"Bogotá, DC, Colombia"
723,PortalPolemos,"Lima, Peru"
724,jimenez9701,"Cali, Colombia"
725,Juanchixx__,
726,alexa_deleon92,"Neiva, Colombia"
727,T3ng0H4mbr,
728,GeorgePolanco17,
729,Canal1Colombia,Colombia
730,PuraCarretaPod,Colombia
731,seisdanielas,
732,KheGonosheat,Planeta Saturno
733,Juanmanglar,"Bogotá, D.C., Colombia"
734,18danit,Tu corazon
735,benkoscaicedo,Colombia
736,deisycardozo27,Colombia
737,SaraMierYTeran,
738,lambidiestra,
739,juanzasu59139,
740,DiegoVi88673004,"Cali, Colombia"
741,Andysinisterra,Santiago de Cali
742,MutanteOrg,"Bogotá, D.C., Colombia"
743,medinaran,
744,emmaentinta,Colombia
745,carlitos79_10,"Bogotá, D.C., Colombia"
746,GeorgeCaldera11,Algún lugar en el bosque
747,pauula0722,"Madrid, Comunidad de Madrid"
748,ibm1955,
749,des_astrum,
750,EdwinJu7,Cualquier lugar.
751,JoanOsorioCol,"Cali, Colombia"
752,SalomnM,"Villavicencio, Colombia"
753,Erickmontes1997,"Bogotá, D.C., Colombia"
754,NohraHeredia,
755,radiosupercali,Cali - Valle
756,guarapiitx,Maricolandia 
757,AvellaCorrea,
758,karentoroa,Quito📍Ecuador
759,marulojose,"Medellín, Colombia"
760,malkademia,
761,JENNJGP,"Cali, Colombia"
762,maicol_co12,Popayán
763,Asoprudea,"Medellín, Antioquia"
764,Cardenas_4,Cali - Colombia 
765,PeriodicoIR,"Barrancabermeja, Colombia"
766,escritos_ft,
767,pemiber,
768,sebmancera,
769,JOHNALEX18,Colombia
770,OSCARCUELLAR,"Pitalito, Colombia"
771,Diepriro,
772,DronevisionCo,"Georgia, USA"
773,HHsotelo27,"Cali, Colombia"
774,alemanjarres08,"Madrid, Colombia"
775,LawNiel,"Bogotá, D.C., Colombia"
776,SallySuprstar,In your mind
777,BryanTheCaly,Las Rozas Madrid España
778,Daria_LaMaracx,"Quito, Ecuador"
779,pandong_,
780,MayiAlvarez_,"Buenos Aires, Argentina"
781,vic_ramirezp,"Pereira, Colombia "
782,RQuimbell,Colombia
783,GMaryory1,
784,AzraipOficial,Colombia
785,concejalflower,"Cali, Colombia"
786,AlianzaSta,
787,RevistaElClavo,"Cali, Colombia"
788,Teusaradio,Bogotá
789,Fernanda_140416,"Bogotá, D.C., Colombia"
790,andresf39895817,
791,Mercadoguitar,"Pereira, Colombia"
792,Nekk_2009,
793,jeivertapia,Colombia - Cauca - Popayán
794,LacrudaRj,"Manizales, Colombia"
795,MateoIsazaG,"Medellín, Colombia"
796,ronald_yeferson,"Ibagué, Tolima"
797,Juanalvarez15,Colombia
798,HeinerGaitan,"Soacha, Colombia"
799,MariaAl48589401,Colombia
800,AngelaPerversa,"Arkansas, USA"
801,cureluque,ARGENTINA
802,Paorojasd,Colombia 
803,GaboPadilla8,
804,erickaisabelbf,
805,jennyli11,
806,Bryan120594,Bogotá
807,IvonnetTapia,Mosquera
808,Ladelasjirafas,Bogota.
809,echelecabeza,
810,JuanSeveroF,"San Francisco, Córdoba "
811,Resistenciamul1,
