,Datetime,Tweet Id,Text,Username,language,location,text-english
0,2021-07-30 22:26:24+00:00,1421235755502931968,"#MisiónSOSColombia
Resumen del informe preliminar #Nosestanmatando  
#MisionSOSColombia
#Laluchacontinúa https://t.co/5HbXSX0DZk",JRnarino,es,"Nariño, Colombia","#MisiónSOSColombia
Summary of the preliminary report #Nosestanmatando  
#MisionSOSColombia
#Laluchacontinúa https://t.co/5HbXSX0DZk"
1,2021-07-30 22:00:23+00:00,1421229210295734283,"Ejemplo para los de la ""Primera Línea""
Ella no se queja de 
""#NosEstanMatando"" https://t.co/nyoR4wPJTr",LilyKleinner,es,"Medellín, Colombia","Example for those on the ""Front Line""
She doesn't complain about 
""#NosEstanMatando"" https://t.co/nyoR4wPJTr"
2,2021-07-30 20:01:56+00:00,1421199399649218572,Ahora sale @GustavoBolivar a decir que #NosEstanMatando 😝😝😝 https://t.co/sUknfayVIf,RodryMurillo,es,Bogota-Colombia.,Now @GustavoBolivar comes out and says that #NosEstanMatando 😝😝😝 https://t.co/sUknfayVIf
3,2021-07-30 17:43:46+00:00,1421164629573599232,"Por aquí estamos con @LIMPALCOLOMBIA y @rebelsoundscol llamando la atención del ministerio público frente a su pasividad ante la crisis social y humanitaria que está viviendo el país.
#NosEstanMatando #ParoNacional29J #SinOlvido https://t.co/aFAvjpH0Qf",ACOOCobjecion,es,"Bogotá, Colombia","Here we are with @LIMPALCOLOMBIA and @rebelsoundscol drawing the attention of the Public Prosecutor's Office to their passivity in the face of the social and humanitarian crisis that the country is experiencing.
#NosEstanMatando #ParoNacional29J #SinOlvido https://t.co/aFAvjpH0Qf"
4,2021-07-30 17:06:19+00:00,1421155205689876481,@CarlosJSolerP @COL_EJERCITO Nos ayuda con la inseguridad de Cali por favor? En Cali #NosEstanMatando las ratas que dia a dia roban y secuestran.,2012Labac,es,"Cali, Colombia",@CarlosJSolerP @COL_EJERCITO help us with cali insecurity please? In Cali #NosEstanMatando rats that steal and kidnap every day.
5,2021-07-30 15:47:18+00:00,1421135322654650374,"¡ATENCIÓN COLOMBIA!
#NosEstanMatando
Siguen los asesinatos a líderes sociales.
¡Duque pare la masacre en Colombia!
@CIDH
@ONU_derechos
@IntlCrimCourt https://t.co/EYOsAjBjNL",willj84753699,es,"Bogotá, D.C., Colombia","ATTENTION COLOMBIA!
#NosEstanMatando
Murders of social leaders continue.
Duke stop the massacre in Colombia!
@CIDH
@ONU_derechos
@IntlCrimCourt https://t.co/EYOsAjBjNL"
6,2021-07-30 12:43:35+00:00,1421089087029714946,@Chikatilo_ Desde que le aplicaron la vacuna no lo veo igual 😞  #NosEstanMatando,lrdaniel86,es,Colombia,"@Chikatilo_ Since he was given the vaccine, I don't see him the same 😞 #NosEstanMatando"
7,2021-07-30 12:06:36+00:00,1421079780783448064,No he 👀 la foto XO me parece Q estas basuras le dan trascendencia a pendejadas XO lo + irónico es Q el senador Bolivar hace una 🐄 le da $$ a los vándalos D la 1a línea Q vandalizan y atacan despiadadamente a 👮🏼‍♀️y hacen montajes D #nosestanmatando  y no pasa absolutamente nada https://t.co/Yifgw98uzB,Diegodor66,es,"Bugueño Barranquilla, Colombia",I have not 👀 the photo XO seems to me Q these garbagees give importance to pendejadas XO the + ironic is Q senator Bolivar makes a 🐄 gives $$ to the vandals D the 1a line Q vandalize and ruthlessly attack 👮🏼 ♀️ and make montages D #nosestanmatando and absolutely nothing happens https://t.co/Yifgw98uzB
8,2021-07-30 02:17:30+00:00,1420931525651087360,"///FATAL NOTICIA:
""Me acaban de informa que el joven que acompañaba a la alemana falleció, producto de 13 disparos de los cuales 3 fueron en la cabeza""
#NosEstanMatando https://t.co/PYGYNkJWIR",Ethelzeta,es,"América, Colombia, Medellín","FATAL NEWS:
""I have just been informed that the young man who accompanied the German died, the product of 13 shots of which 3 were in the head""
#NosEstanMatando https://t.co/PYGYNkJWIR"
9,2021-07-30 01:18:01+00:00,1420916557232881672,Esto si lo tiene que ver TODO EL MUNDO @CIDH @IntlCrimCourt @ONUHumanRights @ONU_es #NosEstanMatando https://t.co/8IVOm1wsvj,Mister8a_,es,Colombia,This is if everyone has to see it @CIDH @IntlCrimCourt @ONUHumanRights @ONU_es #NosEstanMatando https://t.co/8IVOm1wsvj
10,2021-07-30 00:38:11+00:00,1420906533362274307,"Masacre #60 del 2021
26/07/21
Bogotá

En el barrio Gran Yomasa, un hombre armado asesinó a 3 personas, 2 de ellas se encontraban al interior de una droguería y la otra persona era un taxista que esperaba afuera del local comercial. 

#NosEstanMatando
#el… https://t.co/pPuBXWOkCh https://t.co/BeFP8SOC0Q",Kevinvanegastv,es,"Pereira, Colombia","2021 #60 massacre
26/07/21
Bogota

In the Gran Yomasa neighborhood, a gunman killed 3 people, 2 of them were inside a drugstore and the other person was a taxi driver waiting outside the commercial premises. 

#NosEstanMatando
#el... https://t.co/pPuBXWOkCh https://t.co/BeFP8SOC0Q"
11,2021-07-30 00:28:10+00:00,1420904011843227648,"Masacre #60 del 2021
26/07/21
Bogotá

En el barrio Gran Yomasa, un hombre armado asesinó a 3 personas, 2 de ellas se encontraban al interior de una droguería y la otra persona era un taxista que esperaba afuera del local comercial. 

#NosEstanMatando
#el… https://t.co/pTEWvT8kq8",Kevinvanegastv,es,"Pereira, Colombia","2021 #60 massacre
26/07/21
Bogota

In the Gran Yomasa neighborhood, a gunman killed 3 people, 2 of them were inside a drugstore and the other person was a taxi driver waiting outside the commercial premises. 

#NosEstanMatando
#el... https://t.co/pTEWvT8kq8"
