,User,Location
0,carmeno1635,"San Salvador, El Salvador"
1,olga73427503,"California, USA 🇺🇸"
2,Mr_DonNadie,
3,Antifaxismoa,Euskal Herria
4,Radiometrohaba1,Cuba
5,CGT,España
6,Berthica5,"La Habana, Cuba"
7,grupo_plumas,"Venezuela, Acarigua "
8,MadresCR,
9,jesus_fpc,Alicante
10,BITLOBOInvers,"California, USA"
11,LORD_HYO,Block-Chain🚀
12,AmbarinaG,En gracia
13,PartidoPCC,Cuba
14,FabeloPinares,
15,JorgeLSantana3,
16,Educa_Gtmo,
17,JovenclubCifue1,
18,jovenclubPinar,Cuba
19,Leobanys2,"Las Tunas, Cuba"
20,CubaCentral,"La Habana,Cuba"
21,Misael82834031,Cuba
22,CmkcConcierto,
23,ArletyBarazal,"La Habana, Cuba"
24,EcgMinera,Cuba
25,Ney8a,Cuba
26,VeronikPedraza,La Habana
27,yamila_padron,
28,todosporlaeduve,
29,RaynierMiranda,Cuba
30,BauzaCuba,
31,bacunagua,
32,ImecoCuba,
33,EducacionDel,
34,superstereo981,Isla de Margarita-Venezuela
35,ViveresOrdaz,Puerto Ordaz Estado Bolivar
36,DPDZulia,"Zulia, Venezuela"
37,LopezCesar2504,Nicaragua
38,OnofrioCavallo,
39,EEIICarmeChacon,"Calle Matapozuelos, 2, 28043"
40,bancaynegocios,"Caracas, Venezuela"
41,CGTSevilla,"c/Alfonso XII, 26"
42,FrnsEdobolivar,"Ciudad Bolivar, Venezuela"
43,lobosrev02,Nicaragua
44,DiariRepCheca,"Tarragona, Cataluña"
45,HistoriaPapeles,Venezuela
46,AntonioHMsv,Italy
47,DPLF_info,
48,jimolinaarroyo,Andalucía
49,LuisAnt46786092,
50,prensaestudiant,"Kronshtadt, Rusia"
51,MarisolPrensaok,"Buenos Aires, Argentina"
52,ElMananero_,
53,cancinodiegoa,"Bogota, Colombia"
54,amparo_gonzales,España
55,JuanMarioLimaD,Cuba
56,yisvetmarin,"ÜT: 10.219202,-68.004284"
57,CCOOdeAsturias,Asturias
58,trianacampo1,Spain
59,CgtKonecta,"Almendralejo, España"
60,NetCgt,"Madrid, España"
61,CgtAndalucia,"Comunidad de Madrid, España"
62,BtoCgt,"Madrid, Comunidad de Madrid"
63,cntaitcartagena,🌐 cartagena@cntait.org
64,anf_espanol,
65,ATDiputacion,
66,MaciasYuleiky,"Cuba, Sancti Spíritus"
67,RadiocubaSTX,Cuba
68,mdi_venezuela,
69,lilibethsandov,Venezuela
70,TaniaAl89297299,
71,EcuadorCut,Ecuador
72,AmilcarRey2,
73,Ayatawaabta,
74,jhoseph227,"BUCARAMANGA, COLOMBIA."
75,cronicadirecto,"Barcelona, Cataluña"
76,RolfCoach,"Buenos Aires, Argentina"
77,cacicaV,Colombia 🇨🇴 
78,ManaguaMefcca,"Los Robles, Managua, Nicaragua"
79,ElAragueno,"Aragua, Venezuela"
80,Razonyre,Argentina Prensa 11 5869-2726 
81,FPR_Mx,México
82,CharlyRdz1103,Mexico 
83,Pablojdiazr,Caracas. Venezuela
84,IrisFresh1,
85,IntCCOO,Madrid
86,kvmillan,Caracas
87,LMartinV1,El UNIVERSO
88,moniiiiiiiiik,
89,ANiklaus4,Berlin
90,raulmendez_007,El Salvador
91,ZonaDocs,"Guadalajara, Jalisco."
92,jmporquet,Zaragoza
93,plataformadecom,"Barcelona, España"
94,vagabunda_mx1,
95,med0usax,
96,nicolehdz31,El Salvador
97,MLKP_IB,Turkey/Kurdistan
98,cgtbsan,"Plaza de Legazpi, 1 Madrid"
99,blackfl93667279,
100,revistalibero,España
101,StanleyHernan14,
102,ColegioEnfermDC,"Caracas, Venezuela"
103,vduranjs1, Ontario
104,CVMVenezuela,"Distrito Capital, Venezuela"
105,personanbulo,Bilbao. España.
106,DanielL21620741,
107,espana_carlitos,"Barcelona, España"
108,MariMagallanesC,Estado Aragua. Venezuela
109,Ernestico1919,"Mayabeque, Cuba. "
110,LaCausaRVe,Venezuela
111,turismosanfdo,#SanFernando
112,elferlopezaires,Ecuador
113,mariafotografa7,Sevilla
114,auroragvilustra,Santander
115,BorjasSevero,"Holguín, Cuba"
116,radionline,Cuba
117,cntcornella,Cornellà de Llobregat
118,SindicatoMinjus,Cuba
119,MioPinares,Cuba
120,ProgresoHD,"Pz. Zumarraga 2 Bajo 2, Bilbao"
121,EndAllSuffering,"Devils Wharf, Connecticut USA"
122,PeaceAmendment,
123,Marovaan,Bogotá 
124,dunkel_little,#GirlsWhoCode #WomenInScience 
125,JOALVARA,"BOGOTA, COLOMBIA"
126,JimRubens,New Hampshire
127,Lulufrl,
128,walangpasok,Philippines
129,dost_pagasa,"Quezon City, PHILIPPINES"
130,sprivera,En casita
131,RealBreaksLive,Minnesota
132,Emerencia1615,
133,cpt_intl,"Chicago, IL"
134,Colombiagruppen,Stockholm
135,FelipeNN7,"Cali, Colombia"
136,cristianariza_,Colombia
137,MauricioELKALE,Canada
138,Oidhaco,"Bruselas, Bélgica"
139,orbit_valhaus,she/her
140,Nandito_Mijo,Bogotá 
141,IamDanielFelipe,"Chicago, IL"
142,RedCondors,
143,Zalman5K,contacto: zalman@zalman5k.com
144,majxdibx,
145,LauraRoblesRuiz,
146,jgomez_fip,"manizales, Colombia"
147,NORENMINLOOPS,norenmin’s heart
148,milowgiraldo,
149,eddierth,Pereira
150,GCRTA,"Cleveland,Ohio"
151,Peace_Presence,Colombia
152,StePozzebon,Bogota
153,ChrisBlec,USA
154,MavrickSpinster,United States
155,pcbeachliving,
156,HypatiaHurtado,
157,MariaParraArcos,Líbano - Ibagué 
158,citypaperbogota,"Bogotá, Colombia"
159,RichardEmblin,
160,lupo51ca,calgary
161,yukheikick,
162,jennto,"Cali, Colombia"
163,AncestralAlien,Planet Earth
164,Prince_Josep07,"Barbacoas, Nariño"
165,moonsthedumbass,definitely fighting somebody
166,Jprincess951,
167,anam_olaya,Calarcho City
168,agudelo_tovar,Cartago 
169,spookyLoba,
170,mmrt220910,"Texas, USA"
171,BibianaViana,"Mar del Plata, Argentina"
172,Eric_Vardeman,"Tulsa, OK"
173,gquimbayo,Tierra/Earth/Maa   
174,JoyceBruns,
175,criptikalsoul,Bogota Colombia
176,profetatuu,
177,LUX3R3,bogota
178,fsceleste,"Cali, Colombia"
179,MirandaHeLF,
180,HijueputaCasa,de izquierda
181,JenniferPedraz,"Bogotá, D.C., Colombia"
182,jhonnyxaviersp,
183,sintraemsdesna1,
184,Skink_19,
185,WilliamTorres23,"Barranquilla, Colombia"
186,AnaKgv,"Santa Marta, Colombia"
187,LauraBenavdezR1,"Cali, Colombia"
188,julianacl3,
189,AcFerreiraR,Bogotá D.C
190,LuisEdu620829,Colombia
191,unicomunica,
192,juansitx,
193,MariaySusLetras,"Bogotá, D.C., Colombia"
194,diegomillan_pcc,Bogotá
195,JoseRobayo,colombia
196,juanlastre1,
197,LeonPielrroja,"Allá arriba, en aquél alto."
198,HailGU2,Colombia
